Id,ParentId,Name,Fullpath,Created,Modified
1,NULL,"Afwerking","Afwerking","2021-12-10 12:39:38","2020-12-10 12:40:29"
2,1,"Veroudering/Bruinering","Afwerking\Veroudering/Bruinering","2021-12-10 12:39:38","2021-12-10 12:40:29"
3,1,"Maskering","Afwerking\Maskering","2021-12-10 12:39:38","2021-12-10 12:40:29"
4,1,"Penselen","Afwerking\Penselen","2021-12-10 12:39:38","2021-12-10 12:40:29"
5,1,"Verf","Afwerking\Verf","2021-12-10 12:39:38","2021-12-10 12:40:29"
6,1,"Lak","Afwerking\Lak","2021-12-10 12:39:38","2021-12-10 12:40:29"
7,1,"Lijm","Afwerking\Lijm","2021-12-10 12:39:38","2021-12-10 12:40:29"
8,7,"Houtlijm","Afwerking\Lijm\Houtlijm","2021-12-10 12:39:38","2021-12-10 12:40:29"
9,7,"Secondenlijm","Afwerking\Lijm\Secondenlijm","2021-12-10 12:39:38","2021-12-10 12:40:29"
10,NULL,"Gereedschapeedschap","Gereedschap","2021-12-10 12:39:38","2021-12-10 12:40:29"
11,10,"Algemeen","Gereedschap\Algemeen","2021-12-10 12:39:38","2021-12-10 12:40:29"
12,11,"Accessoires","Gereedschap\Algemeen\Accessoires","2021-12-10 12:39:38","2021-12-10 12:40:29"
13,10,"Elektrisch","Gereedschap\Elektrisch","2021-12-10 12:39:38","2021-12-10 12:40:29"
14,13,"Accessoires","Gereedschap\Elektrisch\Accessoires","2021-12-10 12:39:38","2021-12-10 12:40:29"
15,10,"Hand","Gereedschap\Hand","2021-12-10 12:39:38","2021-12-10 12:40:29"
16,15,"Accessoires","Gereedschap\Hand\Accessoires","2021-12-10 12:39:38","2021-12-10 12:40:29"
17,10,"Meetgereedschap","Gereedschap\Meetgereedschap","2021-12-10 12:39:38","2021-12-10 12:40:29"
18,17,"Accessoires","Gereedschap\Meetgereedschap\Accessoires","2021-12-10 12:39:38","2021-12-10 12:40:29"
19,NULL,"Hulpmiddelen","Hulpmiddelen","2021-12-10 12:39:38","2021-12-10 12:40:29"
